lemma,pos,semantic_relationship,sense_source,sense_target
indian,noun,exact,a native or inhabitant of India,a native or inhabitant of india.
indian,noun,related,any of the languages spoken by Amerindians,one of the aboriginal inhabitants of america; -- so called originally from the supposed identity of america with india.
indian,noun,exact,a member of the race of people living in America when Europeans arrived,one of the aboriginal inhabitants of america; -- so called originally from the supposed identity of america with india.
match,noun,related,the score needed to win a match,"equality of conditions in contest or competition, or one who provides equal competition to another in a contest; ."
match,noun,broader,an exact duplicate,a person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate.
match,noun,related,a person regarded as a good matrimonial prospect,a candidate for matrimony; one to be gained in marriage.
match,noun,exact,a burning piece of wood or cardboard,"anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood or cardboard dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium."
match,noun,related,a formal contest in which two or more persons or teams compete,suitable combination or bringing together; that which corresponds or harmonizes with something else; .
match,noun,narrower,something that resembles or harmonizes with,a person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate.
match,noun,narrower,a person who is of equal standing with another in a group,a person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate.
match,noun,exact,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction,"anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood or cardboard dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium."
revamp,verb,narrower,provide (a shoe) with a new vamp,"to vamp again; hence, to patch up; to reconstruct."
revamp,verb,narrower,to patch up or renovate; repair or restore,"to vamp again; hence, to patch up; to reconstruct."
besieger,noun,exact,an enemy who lays siege to your position,one who besieges; -- opposed to .
cottar,noun,narrower,a peasant farmer in the Scottish Highlands,a cottager; a cottier.
roman,noun,narrower,a resident of modern Rome,"a native, or permanent resident, of rome; a citizen of rome, or one upon whom certain rights and privileges of a roman citizen were conferred."
roman,noun,exact,a typeface used in ancient Roman inscriptions,"roman type, letters, or print, collectively; -- in distinction from ."
roman,noun,narrower,an inhabitant of the ancient Roman Empire,"roman type, letters, or print, collectively; -- in distinction from ."
butternut,noun,exact,North American walnut tree having light-brown wood and edible nuts; source of a light-brown dye,"an american tree () of the walnut family, and its edible fruit; -- so called from the oil contained in the latter. sometimes called  and ."
butternut,noun,exact,oily egg-shaped nut of an American tree of the walnut family,"the nut of the  and , of s. america; -- called also ."
row,noun,exact,the act of rowing as a sport,the act of rowing; excursion in a rowboat.
row,noun,exact,an angry dispute,"a noisy, turbulent quarrel or disturbance; a brawl."
row,noun,related,a continuous chronological succession without an interruption,a series of persons or things arranged in a continued line; a line; a rank; a file; .
row,noun,narrower,"a linear array of numbers, letters, or symbols side by side",a series of persons or things arranged in a continued line; a line; a rank; a file; .
row,noun,related,a long continuous strip (usually running horizontally),a series of persons or things arranged in a continued line; a line; a rank; a file; .
row,noun,narrower,an arrangement of objects or people side by side in a line,a series of persons or things arranged in a continued line; a line; a rank; a file; .
rubric,noun,narrower,an authoritative rule of conduct or procedure,"hence, that which is established or settled, as by authority; a thing definitely settled or fixed."
rubric,noun,narrower,directions for the conduct of Christian church services (often printed in red in a prayer book),"hence, that which is established or settled, as by authority; a thing definitely settled or fixed."
foghorn,noun,exact,a warning device consisting of a horn that generates a loud low tone,"a horn that emits a loud low-pitched sound, used on ships navigating in a fog, to warn other ships of their presence."
foghorn,noun,related,a loud low warning signal that can be heard by fogbound ships,"a horn that emits a loud low-pitched sound, used on ships navigating in a fog, to warn other ships of their presence."
nibble,noun,exact,gentle biting,a small or cautious bite.
nibble,noun,narrower,a small byte,a small or cautious bite.
artlessly,adverb,narrower,in an ingenuous manner,"in an artless manner; without art, skill, or guile; unaffectedly."
artlessly,adverb,narrower,in a crude and unskilled manner,"in an artless manner; without art, skill, or guile; unaffectedly."
gavotte,noun,exact,an old formal French dance in quadruple time,"a kind of difficult, old formal french dance in quadruple time."
gavotte,noun,exact,music composed in quadruple time for dancing the gavotte,"a kind of difficult, old formal french dance in quadruple time."
twayblade,noun,narrower,an orchid of the genus Liparis having a pair of leaves,"any one of several orchidaceous plants which have only two leaves, as the species of  and of ."
twayblade,noun,narrower,orchid having a pair of ovate leaves and a long slender raceme of green flowers sometimes tinged red-brown; Europe to central Asia,"any one of several orchidaceous plants which have only two leaves, as the species of  and of ."
batting,noun,narrower,(baseball) the batter's attempt to get on base,the act of one who bats; the management of a bat in playing games of ball.
batting,noun,exact,stuffing made of rolls or sheets of cotton wool or synthetic fiber,"cotton in sheets, prepared for use in making quilts, etc.; ."
inflation,noun,narrower,(cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang,"the act or process of inflating, or the state of being inflated, as with air or gas; distention; expansion; enlargement."
inflation,noun,exact,a general and progressive increase in prices,"persistent expansion or increase in the general level of prices, usually caused by overissue of currency, and resulting in a reduced value of the currency.  it is contrasted with , and is when it occurs to a very high degree is called ."
inflation,noun,exact,lack of elegance as a consequence of being pompous and puffed up with vanity,"the state of being puffed up, as with pride; conceit; vanity."
inflation,noun,narrower,the act of filling something with air,"the act or process of inflating, or the state of being inflated, as with air or gas; distention; expansion; enlargement."
rear,noun,narrower,the side that goes last or is not normally seen,"the back or hindmost part; that which is behind, or last in order; -- opposed to ."
rear,noun,exact,the back of a military formation or procession,"specifically, the part of an army or fleet which comes last, or is stationed behind the rest."
rear,noun,narrower,the side of an object that is opposite its front,"the back or hindmost part; that which is behind, or last in order; -- opposed to ."
rear,noun,narrower,the part of something that is furthest from the normal viewer,"the back or hindmost part; that which is behind, or last in order; -- opposed to ."
deputize,verb,exact,appoint as a substitute,to appoint as one's deputy; to empower to act in one's stead; to appoint as one's substitute; to depute.
madonna,noun,exact,the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics,"my lady; -- a term of address in italian formerly used as the equivalent of , but for which  is now substituted. sometimes introduced into english."
tinning,noun,exact,the application of a protective layer of tin,the covering or lining of tin thus put on.
tinning,noun,exact,the application of a thin layer of soft solder to the ends of wires before soldering them,"the act, art, or process of covering or coating anything with melted tin, or with tin foil, as kitchen utensils, locks, and the like."
pound,noun,narrower,16 ounces avoirdupois,"a certain specified measure of mass or weight; especially, a legal standard consisting of an established number of ounces."
pound,noun,related,a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec,"a certain specified measure of mass or weight; especially, a legal standard consisting of an established number of ounces."
pound,noun,related,the basic unit of money in Cyprus; equal to 100 cents,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,related,a symbol for a unit of currency (especially for the pound sterling in Great Britain),"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,related,the basic unit of money in Egypt; equal to 100 piasters,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,related,the basic unit of money in Syria; equal to 100 piasters,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,related,the basic unit of money in the Sudan; equal to 100 piasters,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,narrower,a unit of apothecary weight equal to 12 ounces troy,"a certain specified measure of mass or weight; especially, a legal standard consisting of an established number of ounces."
pound,noun,related,formerly the basic unit of money in Ireland; equal to 100 pence,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,narrower,a public enclosure for stray or unlicensed dogs,"an inclosure, maintained by public authority, in which cattle or other animals are confined when taken in trespassing, or when going at large in violation of law; a pinfold."
pound,noun,related,the basic unit of money in Lebanon; equal to 100 piasters,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
pound,noun,exact,the basic unit of money in Great Britain and Northern Ireland; equal to 100 pence,"a british denomination of money of account, equivalent to twenty shillings sterling, and equal in value to about $4.86 in 1900 and $1.50 in 2002.  the modern pound coin was introduced in 1983.  formerly there was a gold sovereign of the same value."
ge,noun,related,a brittle grey crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors; occurs in germanite and argyrodite,"the chemical symbol for germanium, a metalloid element of atomic number 32.  see ."
ge,noun,exact,(Greek mythology) goddess of the earth and mother of Cronus and the Titans in ancient mythology,goddess of the earth and mother of cronus and the titans in ancient mythology.  see .
doeskin,noun,exact,a fine smooth soft woolen fabric,"a firm woolen cloth with a smooth, soft surface like a doe's skin; -- made for men's wear."
doeskin,noun,broader,soft leather from deerskin or lambskin,the skin of the doe.
ten,noun,exact,the cardinal number that is the sum of nine and one; the base of the decimal system,the number greater by one than nine; the sum of five and five; ten units of objects.
eparch,noun,narrower,a bishop or metropolitan in charge of an eparchy in the Eastern Church,"in ancient greece, the governor or perfect of a province; in modern greece, the ruler of an eparchy."
eparch,noun,narrower,the governor or prefect of an eparchy in ancient Greece,"in ancient greece, the governor or perfect of a province; in modern greece, the ruler of an eparchy."
conformation,noun,related,a symmetrical arrangement of the parts of a thing,"the state of being conformed; agreement; hence; structure, as depending on the arrangement of parts; form; arrangement."
conformation,noun,exact,acting according to certain accepted standards,the act of conforming; the act of producing conformity.
vigil,noun,broader,the rite of staying awake for devotional purposes (especially on the eve of a religious festival),a religious service performed in the evening preceding a feast.
vigil,noun,exact,a period of sleeplessness,"abstinence from sleep, whether at a time when sleep is customary or not; the act of keeping awake, or the state of being awake; sleeplessness; wakefulness; watch."
vigil,noun,broader,a purposeful surveillance to guard or observe,"hence, devotional watching; waking for prayer, or other religious exercises."
dominical,adjective,exact,of or relating to Sunday as the Lord's Day,"indicating, or pertaining to, the lord's day, or sunday."
dominical,adjective,exact,of or relating to or coming from Jesus Christ,"relating to, or given by, our lord; ."
tom,noun,narrower,male turkey,the male of certain animals; -- often used adjectively or in composition;
tom,noun,narrower,male cat,the male of certain animals; -- often used adjectively or in composition;
erasure,noun,narrower,deletion by an act of expunging or erasing,the act of erasing; a scratching out; obliteration.
erasure,noun,related,a correction made by erasing,the act of erasing; a scratching out; obliteration.
erasure,noun,exact,a surface area where something has been erased,the place where something has been erased.
acumen,noun,exact,shrewdness shown by keen insight,quickness of perception or discernment; penetration of mind; the faculty of nice discrimination.
excavation,noun,exact,a hole in the ground made by excavating,"a cavity formed by cutting, digging, or scooping."
excavation,noun,exact,the act of digging,"the act of excavating, or of making hollow, by cutting, scooping, or digging out a part of a solid mass."
excavation,noun,related,the site of an archeological exploration,"the act of excavating, or of making hollow, by cutting, scooping, or digging out a part of a solid mass."
excavation,noun,related,the act of extracting ores or coal etc from the earth,"the act of excavating, or of making hollow, by cutting, scooping, or digging out a part of a solid mass."
orchestration,noun,exact,an arrangement of a piece of music for performance by an orchestra or band,the arrangement of music for an orchestra; orchestral treatment of a composition; -- called also .
orchestration,noun,related,an arrangement of events that attempts to achieve a maximum effect,the arrangement of music for an orchestra; orchestral treatment of a composition; -- called also .
orchestration,noun,related,the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments,the arrangement of music for an orchestra; orchestral treatment of a composition; -- called also .
pi,noun,exact,the ratio of the circumference to the diameter of a circle; approximately equal to 3.14159265358979323846...,"the letter &pi;, &pi;, as used to denote the number or quotient approximately expressing the ratio of the circumference of a circle to its diameter; also, the quotient or the ratio itself. the value of the quotient , to twenty decimal places, is 3.14159265358979323846 (see note). the number  is an irrational number, i.e. it cannot be expressed as the quotient of two integers.  it is also a , i.e. it cannot be expressed as a root of an algebraic equation with a finite number of terms; and from this fact follows the impossibility of the quadrature of the circle by purely algebraic processes, or by the aid of a ruler and compass."
pi,noun,exact,the 16th letter of the Greek alphabet,"a greek letter (&pi;, &pi;) corresponding to the roman letter ."
underneath,adverb,exact,under or below an object or a surface; at a lower place or level; directly beneath,beneath; below; in a lower place; under; .
underneath,adverb,related,on the lower or downward side; on the underside of,beneath; below; in a lower place; under; .
control,noun,related,the activity of managing or exerting control over something,"the group of technical specialists exercising control by remote communications over a distant operation, such as a space flight; ."
control,noun,narrower,a relation of constraint of one entity (thing or person or group) by another,power or authority to check or restrain; restraining or regulating influence; superintendence; government; .
control,noun,narrower,power to direct or determine,power or authority to check or restrain; restraining or regulating influence; superintendence; government; .
control,noun,exact,a standard against which other conditions can be compared in a scientific experiment,"in research, an object or subject used in an experimental procedure, which is treated identically to the primary subject of the experiment, except for the omission of the specific treatment or conditions whose effect is being investigated.  if the  is a group of living organisms, as is common in medical research, it is called the ."
control,noun,narrower,the state that exists when one person or group has power over another,power or authority to check or restrain; restraining or regulating influence; superintendence; government; .
control,noun,related,the economic policy of controlling or limiting or curbing prices or wages etc.,"the group of technical specialists exercising control by remote communications over a distant operation, such as a space flight; ."
argos,noun,exact,an ancient city in southeastern Greece; dominated the Peloponnese in the 7th century BC,an ancient city in se greece; dominated the peloponnese in the 7th century bc.
southpaw,noun,exact,a baseball pitcher who throws the ball with the left hand,a pitcher who pitches with the left hand.
southpaw,noun,broader,a person who uses the left hand with greater skill than the right,a pitcher who pitches with the left hand.
checkers,noun,narrower,a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces,"a game, called also , played on a checkerboard by two persons, each having twelve men (counters or checkers) which are moved diagonally.  the game is ended when either of the players has lost all his men, or can not move them."
checkers,noun,narrower,one of the flat round pieces used in playing the game of checkers,"a game, called also , played on a checkerboard by two persons, each having twelve men (counters or checkers) which are moved diagonally.  the game is ended when either of the players has lost all his men, or can not move them."
circumspection,noun,exact,the trait of being circumspect and prudent,attention to all the facts and circumstances of a case; caution; watchfulness.
iteration,noun,exact,doing or saying again; a repeated performance,recital or performance a second time; repetition.
iteration,noun,narrower,(computer science) executing the same set of instructions a given number of times or until a specified result is obtained,the execution of a statement or series of statements in a loop which is repeated in a computer program;
iteration,noun,narrower,(computer science) a single execution of a set of instructions that are to be repeated,the execution of a statement or series of statements in a loop which is repeated in a computer program;
shipbuilder,noun,exact,a person who builds ships as a business,a person whose occupation is to construct ships and other vessels; a naval architect; a shipwright.
shipbuilder,noun,narrower,a carpenter who helps build and launch wooden vessels,a person whose occupation is to construct ships and other vessels; a naval architect; a shipwright.
cambrian,noun,narrower,a native or resident of Wales,a native of cambria or wales.
cambrian,noun,exact,from 544 million to about 500 million years ago; marine invertebrates,the cambrian formation.
catechu,noun,related,extract of the heartwood of Acacia catechu used for dyeing and tanning and preserving fishnets and sails; formerly used medicinally,"a dry, brown, astringent extract, obtained by decoction and evaporation from the , and several other plants growing in india. it contains a large portion of tannin or tannic acid, and is used in medicine and in the arts. it is also known by the names , , , etc."
catechu,noun,related,East Indian spiny tree having twice-pinnate leaves and yellow flowers followed by flat pods; source of black catechu,"a dry, brown, astringent extract, obtained by decoction and evaporation from the , and several other plants growing in india. it contains a large portion of tannin or tannic acid, and is used in medicine and in the arts. it is also known by the names , , , etc."
dissentient,adjective,narrower,"disagreeing, especially with a majority",disagreeing; declaring dissent; dissenting.
dissentient,adjective,narrower,(of Catholics) refusing to attend services of the Church of England,disagreeing; declaring dissent; dissenting.
succumb,verb,narrower,be fatally overwhelmed,to yield; to submit; to give up unresistingly;
succumb,verb,narrower,consent reluctantly,to yield; to submit; to give up unresistingly;
testament,noun,exact,a legal document declaring a person's wishes regarding the disposal of their property when they die,"a solemn, authentic instrument in writing, by which a person declares his will as to disposal of his estate and effects after his death."
testament,noun,exact,either of the two main parts of the Christian Bible,"one of the two distinct revelations of god's purposes toward man; a covenant; also, one of the two general divisions of the canonical books of the sacred scriptures, in which the covenants are respectively revealed;"
meld,verb,exact,announce for a score; of cards in a card game,"in the game of pinochle, to declare or announce for a score; ."
meld,verb,narrower,lose its distinct outline or shape; blend gradually,to mix together so that the components are indistinguishable.
meld,verb,narrower,mix together different elements,to mix together so that the components are indistinguishable.
clog,noun,exact,any object that acts as a hindrance or obstruction,"that which hinders or impedes motion; hence, an encumbrance, restraint, or impediment, of any kind."
clog,noun,related,a dance performed while wearing shoes with wooden soles; has heavy stamping steps,"a shoe, or sandal, intended to protect the feet from wet, or to increase the apparent stature, and having, therefore, a very thick sole. cf. ."
clog,noun,exact,footwear usually with wooden soles,"a shoe, or sandal, intended to protect the feet from wet, or to increase the apparent stature, and having, therefore, a very thick sole. cf. ."
lunge,noun,narrower,(fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward,"a sudden thrust or pass, as with a sword."
lunge,noun,narrower,the act of moving forward suddenly,same as .
rack,noun,exact,the destruction or collapse of something,a wreck; destruction.
rack,noun,exact,a rapid gait of a horse in which each foot strikes the ground separately,a fast amble.
rack,noun,related,rib section of a forequarter of veal or pork or especially lamb or mutton,the neck and spine of a fore quarter of veal or mutton.
myriad,noun,exact,the cardinal number that is the product of ten and one thousand,the number of ten thousand; ten thousand persons or things.
myriad,noun,exact,a large indefinite number,an immense number; a very great many; an indefinitely large number.
grumble,noun,broader,a complaint uttered in a low and indistinct tone,"a grumbling, discontented disposition."
spineless,adjective,exact,lacking a backbone or spinal column,"having no spine, or vertebral column."
spineless,adjective,narrower,lacking spiny processes,"having no spine, or vertebral column."
spineless,adjective,exact,lacking thorns,having no thorns or barbs.
spineless,adjective,exact,"weak in willpower, courage or vitality","lacking in strength of character; cowardly, in a physical or moral sense."
expectorate,verb,broader,discharge (phlegm or sputum) from the lungs and out of the mouth,to discharge matter from the lungs or throat by hawking and spitting; to spit.
expectorate,verb,broader,clear out the chest and lungs,"to eject from the trachea or lungs; to discharge, as phlegm or other matter, by coughing, hawking, and spitting; to spit forth."
handmaiden,noun,exact,in a subordinate position,something or someone serving in a subordinate position; .
handmaiden,noun,exact,a personal maid or female attendant,a maid that waits at hand; a female servant or attendant.
kicking,noun,exact,the act of delivering a blow with the foot,the act of delivering a blow with the foot.
uplift,noun,exact,(geology) a rise of land to a higher elevation (as in the process of mountain building),"a raising or upheaval of strata so as to disturb their regularity and uniformity, and to occasion folds, dislocations, and the like."
rachitis,noun,narrower,childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabolism of calcium and phosphorus,"literally, inflammation of the spine, but commonly applied to the rickets. see ."
rachitis,noun,narrower,inflammation of the vertebral column,"literally, inflammation of the spine, but commonly applied to the rickets. see ."
morbidity,noun,exact,the relative incidence of a particular disease,amount of disease; rate of sickness.
morbidity,noun,exact,an abnormally gloomy or unhealthy state of mind,the quality or state of being morbid.
morbidity,noun,related,the quality of being unhealthful and generally bad for you,morbid quality; disease; sickness.
population,noun,exact,the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.),"the whole number of people, or inhabitants, in a country, or portion of a country; ."
population,noun,exact,the act of populating (causing to live in a place),the act or process of populating; multiplication of inhabitants.
population,noun,related,a group of organisms of the same species inhabiting a given area,"the whole number of people, or inhabitants, in a country, or portion of a country; ."
population,noun,narrower,the people who inhabit a territory or state,"the whole number of people, or inhabitants, in a country, or portion of a country; ."
crease,verb,narrower,"make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in","to make a crease or mark in, as by folding or doubling."
crease,verb,narrower,make wrinkled or creased,"to make a crease or mark in, as by folding or doubling."
heirloom,noun,narrower,something that has been in a family for generations,"any furniture, movable, or personal chattel, which by law or special custom descends to the heir along with the inheritance; any piece of personal property that has been in a family for several generations."
heirloom,noun,narrower,(law) any property that is considered by law or custom as inseparable from an inheritance is inherited with that inheritance,"any furniture, movable, or personal chattel, which by law or special custom descends to the heir along with the inheritance; any piece of personal property that has been in a family for several generations."
devilry,noun,exact,wicked and cruel behavior,conduct suitable to the devil; extreme wickedness; deviltry.
dismay,noun,exact,fear resulting from the awareness of danger,loss of courage and firmness through fear; overwhelming and disabling terror; a sinking of the spirits; consternation.
dismay,noun,related,the feeling of despair in the face of obstacles,condition fitted to dismay; ruin.
pipage,noun,narrower,a fee charged for the use of pipes,"transportation, as of petroleum oil, by means of a pipe conduit; also, the charge for such transportation."
pipage,noun,related,a long tube made of metal or plastic that is used to carry water or oil or gas etc.,"transportation, as of petroleum oil, by means of a pipe conduit; also, the charge for such transportation."
sleazy,adjective,related,of very poor quality; flimsy,lacking firmness of texture or substance; thin; flimsy; .
sleazy,adjective,exact,of cloth; thin and loosely woven,lacking firmness of texture or substance; thin; flimsy; .
disturb,verb,narrower,damage as if by shaking or jarring,to throw into disorder or confusion; to derange; to interrupt the settled state of; to excite from a state of rest.
disturb,verb,narrower,destroy the peace or tranquility of,to throw into disorder or confusion; to derange; to interrupt the settled state of; to excite from a state of rest.
disturb,verb,exact,move deeply,to agitate the mind of; to deprive of tranquillity; to disquiet; to render uneasy; .
disturb,verb,broader,tamper with,to turn from a regular or designed course.
disturb,verb,narrower,change the arrangement or position of,to throw into disorder or confusion; to derange; to interrupt the settled state of; to excite from a state of rest.
whisk,verb,related,move somewhere quickly,to move nimbly at with velocity; to make a sudden agile movement.
whisk,verb,broader,move quickly and nimbly,"to move with a quick, sweeping motion."
whisk,verb,narrower,brush or wipe off lightly,"to sweep, brush, or agitate, with a light, rapid motion;"
whisk,verb,narrower,whip with or as if with a wire whisk,"to sweep, brush, or agitate, with a light, rapid motion;"
marquis,noun,exact,nobleman (in various countries) ranking above a count,"a nobleman in england, france, and germany, of a rank next below that of duke.  originally, the marquis was an officer whose duty was to guard the marches or frontiers of the kingdom.  the office has ceased, and the name is now a mere title conferred by patent."
placid,adjective,exact,(of a body of water) free from disturbance by heavy waves,pleased; contented; unruffied; undisturbed; serene; peaceful; tranquil; quiet; gentle.
injustice,noun,exact,an unjust act,an unjust act or deed; a sin; a crime; a wrong.
injustice,noun,broader,the practice of being unjust or unfair,lack of justice and equity; violation of the rights of another or others; iniquity; wrong; unfairness; imposition.
cress,noun,related,pungent leaves of any of numerous cruciferous herbs,"a plant of various species, chiefly cruciferous. the leaves have a moderately pungent taste, and are used as a salad and antiscorbutic."
cress,noun,exact,any of various plants of the family Cruciferae with edible leaves that have a pungent taste,"a plant of various species, chiefly cruciferous. the leaves have a moderately pungent taste, and are used as a salad and antiscorbutic."
train,verb,broader,"teach and supervise (someone); act as a trainer or coach (to), as in sports",to teach and form by practice; to educate; to exercise; to discipline;
train,verb,broader,educate for a future role or function,"to prepare by exercise, diet, instruction, etc., for any physical contest; ."
train,verb,broader,"undergo training or instruction in preparation for a particular role, function, or profession","to prepare by exercise, diet, instruction, etc., for any physical contest; ."
train,verb,exact,drag loosely along a surface; allow to sweep the ground,to draw along; to trail; to drag.
train,verb,narrower,develop (children's) behavior by instruction and practice; especially to teach self-control,to teach and form by practice; to educate; to exercise; to discipline;
train,verb,broader,create by training and teaching,to teach and form by practice; to educate; to exercise; to discipline;
train,verb,narrower,teach or refine to be discriminative in taste or judgment,to teach and form by practice; to educate; to exercise; to discipline;
train,verb,exact,exercise in order to prepare for an event or competition,"to prepare by exercise, diet, instruction, etc., for any physical contest; ."
train,verb,exact,cause to grow in a certain way by tying and pruning it,"to lead or direct, and form to a wall or espalier; to form to a proper shape, by bending, lopping, or pruning; ."
spicebush,noun,exact,deciduous shrub of the eastern United States having highly aromatic leaves and bark and yellow flowers followed by scarlet or yellow berries,spicewood.
axiom,noun,related,a saying that is widely accepted on its own merits,"a self-evident and necessary truth, or a proposition whose truth is so evident as first sight that no reasoning or demonstration can make it plainer; a proposition which it is necessary to take for granted; as, &ldquo;the whole is greater than a part;&rdquo;  &ldquo;a thing can not, at the same time, be and not be.&rdquo;"
axiom,noun,exact,(logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident,"a self-evident and necessary truth, or a proposition whose truth is so evident as first sight that no reasoning or demonstration can make it plainer; a proposition which it is necessary to take for granted; as, &ldquo;the whole is greater than a part;&rdquo;  &ldquo;a thing can not, at the same time, be and not be.&rdquo;"
ebb,verb,exact,flow back or recede,"to flow back; to return, as the water of a tide toward the ocean; -- opposed to ."
ebb,verb,exact,fall away or decline,to return or fall back from a better to a worse state; to decline; to decay; to recede.
shingle,noun,exact,building material used as siding or roofing,"a piece of wood sawed or rived thin and small, with one end thinner than the other, -- used in covering buildings, especially roofs, the thick ends of one row overlapping the thin ends of the row below."
shingle,noun,exact,coarse beach gravel of small waterworn stones and pebbles (or a stretch of shore covered with such gravel),"round, water-worn, and loose gravel and pebbles, or a collection of roundish stones, such as are common on the seashore and elsewhere."
shingle,noun,exact,"a small signboard outside the office of a lawyer or doctor, e.g.",a sign for an office or a shop; .
product,noun,narrower,a consequence of someone's efforts or of a particular set of circumstances,"anything that is produced, whether as the result of generation, growth, labor, or thought, or by the operation of involuntary causes;"
product,noun,narrower,a chemical substance formed as a result of a chemical reaction,"anything that is produced, whether as the result of generation, growth, labor, or thought, or by the operation of involuntary causes;"
product,noun,exact,a quantity obtained by multiplication,"the number or sum obtained by adding one number or quantity to itself as many times as there are units in another number; the number resulting from the multiplication of two or more numbers; . in general, the result of any kind of multiplication. see the note under ."
product,noun,narrower,an artifact that has been created by someone or some process,"anything that is produced, whether as the result of generation, growth, labor, or thought, or by the operation of involuntary causes;"
indoor,adjective,narrower,"located, suited for, or taking place within a building",done or being within doors; within a house or institution; domestic; .
indoor,adjective,narrower,within doors,done or being within doors; within a house or institution; domestic; .
maverick,noun,exact,an unbranded range animal (especially a stray calf); belongs to the first person who puts a brand on it,"in the southwestern part of the united states, a bullock or heifer that has not been branded, and is unclaimed or wild; -- said to be from , the name of a cattle owner in texas who neglected to brand his cattle."
entree,noun,narrower,the right to enter,"a coming in, or entrance; hence, freedom of access; permission or right to enter; ."
entree,noun,exact,the principal dish of a meal,"the dish which comprises the main course of a meal, especially in a restaurant; ."
entree,noun,narrower,the act of entering,"a coming in, or entrance; hence, freedom of access; permission or right to enter; ."
assured,adjective,narrower,characterized by certainty or security,made sure; safe; insured; certain; indubitable; not doubting; bold to excess.
assured,adjective,narrower,marked by assurance; exhibiting confidence,made sure; safe; insured; certain; indubitable; not doubting; bold to excess.
orange,noun,exact,any citrus tree bearing oranges,the tree that bears oranges; the orange tree.
orange,noun,exact,orange color or pigment; any of a range of colors between red and yellow,the color of an orange; reddish yellow.
orange,noun,exact,round yellow to orange fruit of any of several citrus trees,"the fruit of a tree of the genus  ().  it is usually round, and consists of pulpy carpels, commonly ten in number, inclosed in a leathery rind, which is easily separable, and is reddish yellow when ripe."
orange,noun,related,any pigment producing the orange color,the color of an orange; reddish yellow.
ineptly,adverb,narrower,in an infelicitous manner,unfitly; unsuitably; awkwardly.
ineptly,adverb,narrower,with ineptitude; in an incompetent manner,unfitly; unsuitably; awkwardly.
cooky,noun,exact,any of various small flat sweet cakes (`biscuit' is the British term),"a small, flat, sweetened cake of various kinds."
aspiration,noun,narrower,a will to succeed,the act of aspiring of a ardently desiring; strong wish; high desire.
aspiration,noun,narrower,the act of inhaling; the drawing in of air (or other gases) as in breathing,the act of breathing; a breath; an inspiration.
aspiration,noun,exact,a manner of articulation involving an audible release of breath,the act of aspirating; the pronunciation of a letter with a full or strong emission of breath; an aspirated sound.
aspiration,noun,narrower,a cherished desire,the act of aspiring of a ardently desiring; strong wish; high desire.
